Áreas/Cursos;Mat. Sem. 1 M;Mat. Sem. 1 F;Mat. Sem. 1 Total;Mat. Sem. 2 M;Mat. Sem. 2F;Mat. Sem. 2 Total;Dip. Sem. 1 M;Dip. Sem. 1 F;Dip. Sem. 1 Total;Dip. Sem. 2 M;Dip. Sem. 2F;Dip. Sem. 2 Total;Ano
 TECNOLOGIA EM GESTÃO AMBIENTAL;44;76;120;36;60;96;0;7;7;1;5;6;2017
 ADMINISTRAÇÃO;116;131;247;100;116;216;6;10;16;2;3;5;2017
 ESTUDANTE NÃO VINCULADO;0;0;0;1;0;1;0;0;0;0;0;0;2017
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;1;1;2;0;1;1;0;0;0;0;0;0;2017
 AGRONOMIA;110;84;194;101;76;177;2;2;4;8;8;16;2016
 CIÊNCIAS BIOLÓGICAS;22;71;93;21;63;84;0;4;4;0;6;6;2016
 EDUCAÇÃO FÍSICA;101;75;176;74;68;142;7;3;10;1;8;9;2016
 CIÊNCIA DA COMPUTAÇÃO;116;18;134;103;16;119;3;0;3;7;2;9;2016
 ENGENHARIA DE ALIMENTOS;57;115;172;42;103;145;1;3;4;7;13;20;2016
 FÍSICA;38;9;47;24;10;34;1;0;1;1;1;2;2016
 MATEMÁTICA;22;23;45;21;24;45;0;0;0;0;2;2;2016
 QUÍMICA;27;47;74;22;43;65;1;2;3;0;1;1;2016
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2;1;3;0;1;1;0;0;0;0;1;1;2016
 TECNOLOGIA EM GESTÃO AMBIENTAL;43;66;109;32;54;86;3;2;5;2;4;6;2016
 ADMINISTRAÇÃO;108;127;235;94;106;200;6;17;23;7;2;9;2016
 ESTUDANTE NÃO VINCULADO;0;0;0;0;0;0;0;0;0;0;0;0;2016
 MOBILIDADE ACADÊMICA - GRADUAÇÃO;1;0;1;1;1;2;0;0;0;0;0;0;2016
AGRONOMIA;104;78;182;96;76;172;1;0;1;10;10;20;2015
 CIÊNCIAS BIOLÓGICAS;25;67;92;22;56;78;1;1;2;2;3;5;2015
 EDUCAÇÃO FÍSICA;93;67;160;75;61;136;2;5;7;1;0;1;2015
 CIÊNCIA DA COMPUTAÇÃO;106;19;125;83;15;98;0;0;0;1;1;2;2015
 ENGENHARIA DE ALIMENTOS;44;119;163;39;110;149;0;3;3;3;9;12;2015
 FÍSICA;26;11;37;22;9;31;0;0;0;0;2;2;2015
 MATEMÁTICA;14;26;40;12;19;31;1;2;3;0;5;5;2015
 QUÍMICA;25;44;69;21;35;56;0;1;1;0;1;1;2015
 TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;8;4;12;4;3;7;3;0;3;1;2;3;2015
 TECNOLOGIA EM GESTÃO AMBIENTAL;37;51;88;32;44;76;2;2;4;4;2;6;2015
 ADMINISTRAÇÃO;99;120;219;90;100;190;4;13;17;1;1;2;2015
